724.053955078125+0i,0.695274844015461+0i
726.74560546875+0i,0.710253947746814+0i
729.437255859375+0i,0.736204557469362+0i
732.12890625+0i,0.762305729692083+0i
734.820556640625+0i,0.781706519590777+0i
737.51220703125+0i,0.791531378338139+0i
740.203857421875+0i,0.782297021325334+0i
742.8955078125+0i,0.860457761048045+0i
745.587158203125+0i,0.862015200090316+0i
748.27880859375+0i,0.858929116645878+0i
750.970458984375+0i,0.867792170872842+0i
753.662109375+0i,0.853505441920034+0i
756.353759765625+0i,0.823680939803683+0i
759.04541015625+0i,0.865251499795388+0i
761.737060546875+0i,0.869242878682056+0i
764.4287109375+0i,0.816487642547983+0i
767.120361328125+0i,0.831794145693789+0i
769.81201171875+0i,0.849477785695289+0i
772.503662109375+0i,0.840662778917821+0i
775.1953125+0i,0.797613941910448+0i
777.886962890625+0i,0.832929888934242+0i
780.57861328125+0i,0.846297392867119+0i
783.270263671875+0i,0.803083066313583+0i
785.9619140625+0i,0.777442289292963+0i
788.653564453125+0i,0.777316995948647+0i
791.34521484375+0i,0.748792216881094+0i
794.036865234375+0i,0.799421583408869+0i
796.728515625+0i,0.832949749315608+0i
799.420166015625+0i,0.793071690459085+0i
802.11181640625+0i,0.812951061521236+0i
804.803466796875+0i,0.810158289085059+0i
807.4951171875+0i,0.867178618297437+0i
810.186767578125+0i,0.904904196222585+0i
812.87841796875+0i,0.852931649336193+0i
815.570068359375+0i,0.824042128576432+0i
818.26171875+0i,0.846907704339529+0i
820.953369140625+0i,0.855671526697375+0i
823.64501953125+0i,0.884237022851885+0i
826.336669921875+0i,0.918220420176982+0i
829.0283203125+0i,0.883966804590776+0i
831.719970703125+0i,0.931365744272541+0i
834.41162109375+0i,0.907827633845777+0i
837.103271484375+0i,0.918663816619805+0i
839.794921875+0i,0.915970995225669+0i
842.486572265625+0i,0.846517474267988+0i
845.17822265625+0i,0.833704647800747+0i
847.869873046875+0i,0.858069554062789+0i
850.5615234375+0i,0.879506351739178+0i
853.253173828125+0i,0.897261740861085+0i
855.94482421875+0i,0.905417679681646+0i
858.636474609375+0i,0.912924783283306+0i
861.328125+0i,0.948060987004729+0i
864.019775390625+0i,0.905658546906875+0i
866.71142578125+0i,0.870816117852894+0i
869.403076171875+0i,0.819745714813924+0i
872.0947265625+0i,0.783074271316636+0i
874.786376953125+0i,0.81363778476609+0i
877.47802734375+0i,0.857264357423483+0i
880.169677734375+0i,0.845001283207491+0i
882.861328125+0i,0.821062853852266+0i
885.552978515625+0i,0.834683064483277+0i
888.24462890625+0i,0.857464012010644+0i
890.936279296875+0i,0.850047411195807+0i
893.6279296875+0i,0.797671772221119+0i
896.319580078125+0i,0.752431750739177+0i
899.01123046875+0i,0.779510341319943+0i
901.702880859375+0i,0.829616284313596+0i
904.39453125+0i,0.821727621967941+0i
907.086181640625+0i,0.795562291987542+0i
909.77783203125+0i,0.839325935843806+0i
912.469482421875+0i,0.852335703186412+0i
915.1611328125+0i,0.866616942289277+0i
917.852783203125+0i,0.872141757862162+0i
920.54443359375+0i,0.8194926630564+0i
923.236083984375+0i,0.871754637372913+0i
925.927734375+0i,0.974125359809973+0i
928.619384765625+0i,1.02622630171669+0i
931.31103515625+0i,1.06130209268267+0i
934.002685546875+0i,1.04655775345427+0i
936.6943359375+0i,1.02565418057484+0i
939.385986328125+0i,1.0322680798451+0i
942.07763671875+0i,1.00881511442261+0i
944.769287109375+0i,0.992126401784297+0i
947.4609375+0i,0.949429537772692+0i
950.152587890625+0i,0.913976152465859+0i
952.84423828125+0i,0.929725695913515+0i
955.535888671875+0i,0.913298129943277+0i
958.2275390625+0i,0.881095138855611+0i
960.919189453125+0i,0.880718307894253+0i
963.61083984375+0i,0.880732263458612+0i
966.302490234375+0i,0.867683644155155+0i
968.994140625+0i,0.833688516413878+0i
971.685791015625+0i,0.825309584177996+0i
974.37744140625+0i,0.869981253349429+0i
977.069091796875+0i,0.832106396161418+0i
979.7607421875+0i,0.802428235829584+0i
982.452392578125+0i,0.818660873371429+0i
985.14404296875+0i,0.809312493319231+0i
987.835693359375+0i,0.8192687439553+0i
990.52734375+0i,0.870829230173621+0i
993.218994140625+0i,0.885781357477226+0i
995.91064453125+0i,0.874079669931449+0i
998.602294921875+0i,0.911021627430372+0i
1001.2939453125+0i,0.919410129424178+0i
1003.98559570312+0i,0.938741787432494+0i
1006.67724609375+0i,0.959355085767926+0i
1009.36889648438+0i,0.952034402812782+0i
1012.060546875+0i,0.922323742838881+0i
1014.75219726562+0i,0.904562419274846+0i
1017.44384765625+0i,0.875689275931753+0i
1020.13549804688+0i,0.881780996570437+0i
1022.8271484375+0i,0.893712705565857+0i
1025.51879882812+0i,0.874033833121363+0i
1028.21044921875+0i,0.921940044862329+0i
1030.90209960938+0i,0.893756013817971+0i
1033.59375+0i,0.870485580718587+0i
1036.28540039062+0i,0.911505012667605+0i
1038.97705078125+0i,0.82656113003687+0i
1041.66870117188+0i,0.819096247804939+0i
1044.3603515625+0i,0.782746609051212+0i
1047.05200195312+0i,0.800513750110559+0i
1049.74365234375+0i,0.84756720432977+0i
1052.43530273438+0i,0.852689690035692+0i
1055.126953125+0i,0.884955165596958+0i
1057.81860351562+0i,0.890842544423639+0i
1060.51025390625+0i,0.940568591924069+0i
1063.20190429688+0i,0.991486919538118+0i
1065.8935546875+0i,1.11561806045059+0i
1068.58520507812+0i,1.11156441205306+0i
1071.27685546875+0i,1.1235014694828+0i
1073.96850585938+0i,1.10115146532019+0i
1076.66015625+0i,1.16995474350361+0i
1079.35180664062+0i,1.19468221093457+0i
1082.04345703125+0i,1.07438532494427+0i
1084.73510742188+0i,1.02769643497167+0i
1087.4267578125+0i,0.975668483467464+0i
1090.11840820312+0i,0.881701766582769+0i
1092.81005859375+0i,0.857291283441434+0i
1095.50170898438+0i,0.85609177431915+0i
1098.193359375+0i,0.914589973930784+0i
1100.88500976562+0i,0.973555057029738+0i
1103.57666015625+0i,0.895851414037637+0i
1106.26831054688+0i,0.848621213073817+0i
1108.9599609375+0i,0.845483752999059+0i
1111.65161132812+0i,0.852060104562941+0i
1114.34326171875+0i,0.843416144052139+0i
1117.03491210938+0i,0.818468313217454+0i
1119.7265625+0i,0.814319871477384+0i
1122.41821289062+0i,0.841051720809039+0i
1125.10986328125+0i,0.854131463385308+0i
1127.80151367188+0i,0.863621714308905+0i
1130.4931640625+0i,0.915861618416046+0i
1133.18481445312+0i,0.986076617612461+0i
1135.87646484375+0i,1.04515612711959+0i
1138.56811523438+0i,1.09012992946196+0i
1141.259765625+0i,1.16780271763084+0i
1143.95141601562+0i,1.18574894967529+0i
1146.64306640625+0i,1.26588068878981+0i
1149.33471679688+0i,1.27842997763562+0i
1152.0263671875+0i,1.22126450615288+0i
1154.71801757812+0i,1.2110008642222+0i
1157.40966796875+0i,1.19602750782477+0i
1160.10131835938+0i,1.15801551128375+0i
1162.79296875+0i,1.08972484210014+0i
1165.48461914062+0i,1.04755731487858+0i
1168.17626953125+0i,0.983639295729466+0i
1170.86791992188+0i,0.936871491258047+0i
1173.5595703125+0i,0.932575097130647+0i
1176.25122070312+0i,0.866716873885307+0i
1178.94287109375+0i,0.828810713068238+0i
1181.63452148438+0i,0.863443566989965+0i
1184.326171875+0i,0.893448646187193+0i
1187.01782226562+0i,0.862887557447443+0i
1189.70947265625+0i,0.835701466996685+0i
1192.40112304688+0i,0.848515144024974+0i
1195.0927734375+0i,0.872285285617576+0i
1197.78442382812+0i,0.91801661866648+0i
1200.47607421875+0i,0.874832111762951+0i
1203.16772460938+0i,0.815390525373569+0i
1205.859375+0i,0.853978665709515+0i
1208.55102539062+0i,0.924638596653411+0i
1211.24267578125+0i,0.992664808432238+0i
1213.93432617188+0i,1.00678766391049+0i
1216.6259765625+0i,1.0100994303747+0i
1219.31762695312+0i,1.06871019409466+0i
1222.00927734375+0i,1.05634975813671+0i
1224.70092773438+0i,1.01916024028929+0i
1227.392578125+0i,0.98879233714334+0i
1230.08422851562+0i,1.00377597115075+0i
1232.77587890625+0i,0.997627195997656+0i
1235.46752929688+0i,0.995881618186302+0i
1238.1591796875+0i,0.933573422931898+0i
1240.85083007812+0i,0.914427603095664+0i
1243.54248046875+0i,0.880002980525694+0i
1246.23413085938+0i,0.871414056208665+0i
